Site,Date,Time,cms,uncertainty ( IVE%),lat,lng
WK-West,7/12/2023,12:48,0.015,8.7,48.646171,-123.869063
WK-West,6/24/2022,15:20,0.2,9.6,48.646171,-123.869063
WK-West,7/22/2022,11:31,0.064,8.1,48.646171,-123.869063
WK-West,8/4/2022,11:14,0.038,10.3,48.646171,-123.869063
WK-West,8/16/2022,10:28,0.026,8.4,48.646171,-123.869063
WK-West,8/31/2022,8:55,0.037,6,48.646171,-123.869063
WK-West,9/15/2022,15:10,0.012,34.6,48.646171,-123.869063
WK-West,6/30/2023,12:58,0.029,11.7,48.646171,-123.869063
WK-East,7/12/2023,13:53,0.015,16.9,48.646339,-123.868382
WK-West,8/23/2023,14:11,0.011,3.9,48.646171,-123.869063
WK-West,9/20/2023,11:37,0.01,4,48.646171,-123.869063
